,id,company_id,typ_id,contact_time,date,result_id
0,439,Alwadi,,3,2022-12-30 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
1,440,Alwadi,,0,NaT,HATIRLATMA VE SORUYA CEVAP VERME
2,890,Alwadi,,,54232263,FIYAT YÜKSEK
3,891,Alwadi,,,54232263,HATIRLATMA VE SORUYA CEVAP VERME
4,892,Alwadi,,,54232263,HATIRLATMA VE SORUYA CEVAP VERME
5,893,Alwadi,,,hi,HATIRLATMA VE SORUYA CEVAP VERME
6,894,Alwadi,,,hi,HATIRLATMA VE SORUYA CEVAP VERME
7,895,Alwadi,,,hi,HATIRLATMA VE SORUYA CEVAP VERME
8,902,Alwadi in Libya,,,2022-12-19,CEVAP YOK
9,903,Alwadi in Libya,,,2023-4-28,ZIYARETE GELEBİLİR
10,904,Alwadi in Libya,,,2023-4-28,KATALOG WP
11,905,Alwadi in Libya,,,2023-4-28,SONRA ARA
12,444,"New Aluminium
",,3,2022-12-17 00:00:00,ŞİMDİLİK OLMUYOR
13,445,"New Aluminium
",,1,2022-12-30 00:00:00,ŞİMDİLİK OLMUYOR
14,446,"New Aluminium
",,0,2023-02-21,ZIYARETE GELEBİLİR
15,447,sama,,2,2022-12-17 00:00:00,KATALOG WP 
16,448,sama,,4,2022-12-30 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
17,449,sama,,5,2023-01-07 00:00:00,CEVAP YOK  WP
18,450,شركة بابل,,2,2022-12-17 00:00:00,KATALOG WP 
19,451,شركة بابل,,4,2022-12-30 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
20,452,شركة بابل,,5,2023-01-07 00:00:00,CEVAP YOK  WP
21,453,al jser ,,2,2022-12-17 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
22,454,al jser ,,3,2022-12-30 00:00:00,İLGİLENMİYOR
23,455,Newbond,,3,2022-12-17 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
24,456,Newbond,,4,2022-12-30 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
25,457,Alferrganı,,2,2022-12-17 00:00:00,nan
26,458,Alferrganı,,3,2022-12-19 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
27,459,Orhan bey,,3,2022-12-19 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
28,460,Orhan bey,,4,2022-12-30 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
29,461,Orhan bey,,5,2023-01-17 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
30,462,Orhan bey,,6,2023-01-30 00:00:00,CEVAP YOK  WP
31,463,Orhan bey,,0,2023-02-20,CEVAP YOK  WP
32,464,HAMAD BIN SALEM ALAZZANI TRADING EST.,,3,2022-12-19 00:00:00,İLGİLENMİYOR
33,465,HAMAD BIN SALEM ALAZZANI TRADING EST.,,5,2023-01-30 00:00:00,CEVAP YOK
34,466,"Sohel gazi alduwalia
",,3,2022-12-19 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
35,467,"Sohel gazi alduwalia
",,6,2022-12-30 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
36,468,"Sohel gazi alduwalia
",,7,2023-01-05 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
37,469,"Sohel gazi alduwalia
",,8,2023-01-30 00:00:00,CEVAP YOK  WP
38,470,"Sohel gazi alduwalia
",,0,2023-02-20,CEVAP YOK  WP
39,471,"Sohel gazi alduwalia
",,0,2023-03-09,CEVAP YOK  WP
40,472,Mitro-Plast Sh. P. K.,,3,2022-12-19 00:00:00,CEVAP YOK KATALOG  WP
41,473,Mitro-Plast Sh. P. K.,,4,2022-12-30 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
42,474,Mitro-Plast Sh. P. K.,,5,2023-01-05 00:00:00,İLGİLENMİYOR
43,475,Mitro-Plast Sh. P. K.,,6,2023-01-30 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
44,476,Mitro-Plast Sh. P. K.,,0,2023-02-10,İLGİLENMİYOR
45,477,Mitro-Plast Sh. P. K.,,0,2023-02-17,HATIRLATMA VE SORUYA CEVAP VERME
46,478,Mitro-Plast Sh. P. K.,,0,2023-02-24,HATIRLATMA VE SORUYA CEVAP VERME
47,479,"Modern Aluminium Services LLc.
",,3,2022-12-19 00:00:00,CEVAP YOK
48,480,"Modern Aluminium Services LLc.
",,4,2023-01-05 00:00:00,CEVAP YOK
49,481,"Modern Aluminium Services LLc.
",,5,2023-01-17 00:00:00,KATALOG EMİAL
50,482,"Modern Aluminium Services LLc.
",,0,2023-01-30 00:00:00,CEVAP YOK
51,483,"Modern Aluminium Services LLc.
",,0,2023-02-20,CEVAP YOK  EMAIL
52,484,"Modern Aluminium Services LLc.
",,0,2023-03-09,CEVAP YOK
53,485,"GLASS TECH OMAN
",,3,2022-12-19 00:00:00,KATALOG WP 
54,486,"GLASS TECH OMAN
",,4,2022-12-30 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
55,487,"GLASS TECH OMAN
",,5,2023-01-06 00:00:00,CEVAP YOK  WP
56,488,"GLASS TECH OMAN
",,6,2023-01-30 00:00:00,CEVAP YOK  WP
57,489,"GLASS TECH OMAN
",,0,2023-02-20,CEVAP YOK  WP
58,490,"GLASS TECH OMAN
",,0,2023-03-09,CEVAP YOK  WP
59,491,"Smart Windows
",,3,2022-12-19 00:00:00,KATALOG WP 
60,492,"Smart Windows
",,3,2023-01-30 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
61,493,"Modern Fort Enterprise
",,3,2022-12-19 00:00:00,CEVAP YOK
62,494,"Modern Fort Enterprise
",,4,2023-01-05 00:00:00,KATALOG WP 
63,495,"Modern Fort Enterprise
",,5,2023-01-17 00:00:00,SONRA ARA
64,496,"Modern Fort Enterprise
",,6,2023-01-30 00:00:00,CEVAP YOK  WP
65,497,"Modern Fort Enterprise
",,0,2023-02-20,HATIRLATMA VE SORUYA CEVAP VERME
66,498,"Modern Fort Enterprise
",,0,2023-02-24,HATIRLATMA VE SORUYA CEVAP VERME
67,499,"Modern Fort Enterprise
",,0,2023-02-28,HATIRLATMA VE SORUYA CEVAP VERME
68,500,"Modern Fort Enterprise
",,0,2023-03-09,HATIRLATMA VE SORUYA CEVAP VERME
69,501,"Upvc windos door&aluminium work 99157790
",,3,2022-12-19 00:00:00,CEVAP YOK KATALOG  WP
70,502,"Upvc windos door&aluminium work 99157790
",,4,2023-01-05 00:00:00,CEVAP YOK  WP
71,503,"Upvc windos door&aluminium work 99157790
",,5,2023-01-17 00:00:00,CEVAP YOK  WP
72,504,"Upvc windos door&aluminium work 99157790
",,6,2023-01-30 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
73,505,"Upvc windos door&aluminium work 99157790
",,0,2023-02-20,HATIRLATMA VE SORUYA CEVAP VERME
74,506,"Upvc windos door&aluminium work 99157790
",,0,2023-03-09,CEVAP YOK  WP
75,507,"New Saraya store
",,3,2022-12-19 00:00:00,CEVAP YOK KATALOG  WP
76,508,"New Saraya store
",,4,2023-01-05 00:00:00,CEVAP YOK  WP
77,509,"New Saraya store
",,5,2023-01-17 00:00:00,CEVAP YOK  WP
78,510,"New Saraya store
",,6,2023-01-30 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
79,511,"New Saraya store
",,0,2023-02-20,CEVAP YOK  WP
80,512,"New Saraya store
",,0,2023-03-09,HATIRLATMA VE SORUYA CEVAP VERME
81,513,Royal Glass,,3,2022-12-19 00:00:00,CEVAP YOK KATALOG  WP
82,514,Royal Glass,,4,2023-01-05 00:00:00,CEVAP YOK  WP
83,515,Royal Glass,,5,2023-01-17 00:00:00,CEVAP YOK  WP
84,516,Royal Glass,,6,2023-01-30 00:00:00,CEVAP YOK  WP
85,517,Royal Glass,,0,2023-02-20,CEVAP YOK  WP
86,518,Royal Glass,,0,2023-03-09,CEVAP YOK  WP
87,519,Reliable International LLC الموثوق العالمية,,3,2022-12-19 00:00:00,CEVAP YOK KATALOG  WP
88,520,Reliable International LLC الموثوق العالمية,,4,2023-01-05 00:00:00,CEVAP YOK  WP
89,521,Reliable International LLC الموثوق العالمية,,5,2023-01-17 00:00:00,CEVAP YOK  WP
90,522,Reliable International LLC الموثوق العالمية,,6,2023-01-30 00:00:00,CEVAP YOK  WP
91,523,Reliable International LLC الموثوق العالمية,,0,2023-02-20,KATALOG WP
92,524,Reliable International LLC الموثوق العالمية,,0,2023-03-09,HATIRLATMA VE SORUYA CEVAP VERME
93,525,"A STAR ALUMINYUM
",,3,2022-12-19 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
94,526,"A STAR ALUMINYUM
",,4,2022-12-30 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
95,527,"A STAR ALUMINYUM
",,5,2023-01-17 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
96,528,"A STAR ALUMINYUM
",,0,2023-03-09 00:00:00,CEVAP YOK  WP
97,529,"Millennium Bright
",,3,2022-12-19 00:00:00,CEVAP YOK KATALOG  WP
